Ügyfélkód;Sávszélesség;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
9152569722;256;78;66;248;343;501;93;137;326;567;525;122;495;42;262;266;20;271;344;48;560;141;269;481;38;197;208;293;488;257;136
1004608113;1000;102;424;341;203;408;551;259;83;168;514;211;410;520;455;72;470;301;484;408;37;347;51;504;123;304;132;235;142;288;256
2119851110;1000;511;540;590;325;0;378;377;135;0;132;219;450;278;328;525;475;429;25;321;62;404;400;0;541;534;163;394;330;95;292
7805534910;256;183;36;137;59;95;93;351;0;57;368;259;311;224;128;533;41;283;391;393;32;318;240;458;445;70;166;517;508;17;47
7608515801;512;539;294;272;442;459;521;421;241;317;191;319;255;566;344;66;544;377;31;558;35;84;406;62;361;358;268;208;375;426;0
1338858961;256;285;381;150;94;525;387;41;330;353;152;495;304;116;139;342;576;331;324;78;589;227;224;180;234;465;600;586;76;310;230
1917051945;1000;172;319;342;109;388;355;458;418;90;502;514;425;118;64;20;564;26;457;133;216;31;516;380;234;497;449;249;331;427;297
4138985587;1000;273;147;265;104;242;456;423;22;10;136;328;254;0;183;242;571;201;469;178;506;303;598;215;475;507;412;337;464;324;542
6068895599;256;268;290;547;339;42;254;459;409;281;164;204;229;22;149;389;75;511;162;489;508;534;320;60;0;24;594;291;283;0;165
5749560726;256;142;212;454;88;215;589;413;565;47;474;579;366;238;569;81;61;490;374;0;54;383;363;438;52;526;51;381;155;512;495
9871937706;512;280;358;558;283;572;316;588;40;311;332;228;437;440;156;269;474;482;29;545;87;138;261;13;172;142;27;166;149;389;0
226708643;512;153;569;460;259;433;544;219;416;391;64;124;385;448;237;14;68;441;561;589;294;30;170;322;110;118;537;245;418;581;551
9793509063;512;2;403;369;329;374;29;311;288;567;503;496;587;556;488;573;346;206;26;28;494;454;147;587;113;464;295;0;182;554;14
472041234;512;143;85;41;453;518;534;174;600;260;465;336;580;133;502;129;450;311;210;292;328;112;461;95;350;452;254;599;16;227;282
4918088908;256;98;278;212;467;73;588;265;109;111;438;239;103;551;59;389;20;194;431;184;575;89;17;443;150;50;75;250;49;461;462
7887467145;512;417;108;205;438;22;107;26;547;42;391;228;369;296;236;356;75;553;87;284;340;344;423;206;600;407;414;198;564;33;46
4058309486;512;317;511;173;467;60;568;586;323;507;47;147;468;456;211;579;196;45;144;484;469;518;23;413;433;383;191;150;593;342;265
5214755655;512;199;199;551;530;483;376;489;301;340;461;53;31;114;592;226;24;292;311;333;563;70;517;521;342;550;373;97;562;308;440
8899706216;512;207;263;212;205;285;566;488;338;341;133;472;59;123;278;298;41;492;417;592;50;108;28;127;85;35;61;261;0;217;282
7410945395;1000;463;245;436;413;189;287;230;179;550;559;229;311;567;339;121;576;130;569;564;48;359;102;277;67;394;427;149;334;594;506
7111476821;256;313;18;146;559;60;548;480;237;422;403;466;295;437;0;27;586;462;453;386;412;568;539;253;402;132;400;187;283;331;440
7002782331;1000;294;150;6;84;245;42;144;564;454;545;442;70;541;491;361;43;29;329;0;317;569;189;589;129;463;179;523;447;544;515
3276988445;512;195;527;266;62;185;349;15;128;69;149;200;416;311;445;238;0;45;486;317;190;280;448;187;546;403;91;71;131;258;142
2173214448;256;118;193;377;5;357;227;519;79;484;509;380;473;377;0;283;101;160;541;276;377;26;353;501;575;410;142;594;335;54;440
8786265484;512;122;145;72;187;305;24;324;596;580;111;390;568;151;482;346;57;125;566;245;494;165;62;599;579;67;514;167;153;344;70
7938339259;1000;527;167;443;376;390;88;61;206;378;321;14;297;291;23;326;273;368;77;91;593;164;569;394;214;306;116;311;353;581;178
7784955070;256;54;179;497;48;262;207;42;293;239;194;366;352;324;401;292;347;439;459;321;549;214;548;533;141;119;414;299;235;443;233
384701112;512;345;497;533;42;236;190;454;521;157;13;21;383;551;569;0;456;573;166;266;171;26;123;163;160;323;383;285;365;372;369
6845597600;512;163;191;272;127;331;568;284;193;198;408;501;28;481;430;234;445;37;450;306;286;129;590;183;26;119;391;268;0;398;521
5658510681;512;377;225;129;178;568;560;300;292;113;13;194;252;379;317;230;425;395;463;24;381;501;34;573;19;428;538;124;333;408;262
3437845244;256;412;442;287;414;304;28;320;447;596;42;132;587;588;105;38;114;61;333;571;119;50;399;0;381;503;364;134;285;196;235
4342413366;256;481;187;383;242;314;543;336;0;296;530;210;404;349;369;378;116;441;563;569;480;233;579;132;351;192;587;381;138;191;312
5830403828;256;458;44;154;113;178;125;241;506;72;334;565;401;401;259;510;243;445;535;345;405;99;324;80;269;546;293;116;208;142;345
3971035790;512;125;397;401;53;452;201;532;0;179;524;509;57;540;297;22;317;597;533;122;225;127;291;408;507;63;179;284;266;205;24
8315080518;256;468;581;203;426;293;403;528;388;439;568;372;434;439;347;418;256;337;549;283;276;16;115;520;548;419;366;270;64;191;207
1408455314;1000;465;200;481;548;381;481;202;253;342;421;169;588;373;384;253;26;268;370;10;586;519;240;64;432;57;284;416;556;248;556
6508228396;256;424;321;543;598;342;530;16;478;572;481;101;514;53;567;455;527;0;491;530;490;516;534;12;296;420;487;205;39;296;37
755667871;256;359;570;286;189;294;250;100;79;178;293;518;0;108;311;476;95;310;120;146;515;306;489;433;536;78;85;263;423;117;0
767891064;256;434;199;380;472;538;0;416;200;129;115;18;491;599;390;477;487;549;342;585;74;102;293;344;94;273;584;458;67;85;327
1544336373;256;415;186;227;569;0;545;366;352;464;320;101;164;283;157;350;146;553;55;279;205;23;454;575;276;561;499;450;483;116;468
7247419316;256;347;115;1;166;321;207;449;383;101;47;252;505;309;507;227;538;175;196;115;128;156;393;577;157;142;562;70;239;524;360
3553631990;1000;395;176;249;42;284;455;564;19;397;103;127;407;307;194;401;189;512;400;495;341;455;0;430;145;151;151;263;467;38;203
170966016;1000;465;129;323;401;394;180;222;511;391;318;97;581;453;227;350;391;199;207;153;185;367;212;231;417;480;134;505;469;319;548
664356754;1000;288;519;94;354;278;513;451;95;105;199;278;589;516;467;426;582;535;587;491;279;178;221;102;108;212;403;507;342;243;418
134844506;256;482;222;11;156;246;484;0;120;454;187;565;402;597;78;146;333;20;27;475;503;315;465;63;297;0;49;44;48;334;234
2949620851;512;233;575;536;368;472;275;538;0;541;162;253;268;404;252;0;278;340;129;499;501;549;78;37;106;112;199;255;200;283;190
3774217041;256;182;312;393;348;402;402;11;318;262;268;443;70;97;273;445;98;422;250;306;133;148;130;10;404;30;353;509;478;548;218
1854115947;256;100;514;483;453;133;18;18;560;453;419;251;222;515;0;14;345;28;85;168;326;109;298;389;105;286;317;553;596;34;75
7960196905;1000;454;135;522;26;36;140;320;195;466;427;61;313;537;454;338;498;245;108;561;514;480;223;463;96;245;329;360;163;161;258
4436029335;1000;588;229;144;582;136;362;409;0;54;323;571;500;133;574;110;209;522;567;459;0;394;582;348;440;269;258;428;72;525;265
2328332513;512;54;382;45;258;297;489;305;131;20;28;28;97;469;481;117;198;335;173;202;43;578;356;53;117;301;142;488;17;18;214
1609873580;512;137;191;291;587;229;367;449;120;353;0;394;39;559;462;331;81;143;568;566;55;178;71;423;524;282;101;203;138;230;252
1667205602;1000;12;575;454;149;276;336;48;39;295;233;90;584;266;197;226;434;180;116;572;419;480;360;261;452;223;93;500;375;487;137
6278994735;256;511;13;196;147;479;223;468;123;430;48;223;394;526;226;203;58;584;369;403;159;227;452;234;129;549;248;499;271;577;328
8789232843;1000;60;434;583;440;422;180;568;339;22;506;0;145;423;393;454;69;515;143;125;233;593;118;542;103;244;358;269;351;550;147
5435922798;256;131;472;259;0;115;216;74;510;543;533;321;349;26;288;237;300;99;506;379;519;231;248;244;139;9;126;535;337;42;44
8381328418;256;530;143;533;56;141;220;339;425;425;589;58;473;511;365;464;516;252;222;428;446;254;407;294;383;166;238;80;36;85;10
2286129939;1000;41;96;47;219;223;43;120;393;466;299;314;21;278;465;358;186;324;339;83;483;43;131;460;427;185;55;326;305;91;39
5217596062;512;197;209;590;278;483;353;18;450;325;590;298;166;577;24;396;594;188;194;405;573;124;19;42;201;410;199;98;492;359;93
6323305407;256;135;449;97;292;73;89;516;541;39;190;295;437;49;355;315;568;34;0;40;229;183;548;169;586;547;160;293;277;586;357
2816874836;512;180;569;576;107;478;284;388;116;34;599;20;0;585;456;495;328;496;236;148;549;534;288;576;564;384;592;269;24;538;240
8455674708;512;504;36;404;151;291;466;10;106;167;57;579;460;476;22;115;551;527;237;105;235;8;425;31;492;470;494;207;595;464;306
9538135424;1000;335;466;519;140;493;238;23;213;85;428;543;416;486;389;96;561;40;134;455;458;360;591;402;32;423;437;152;119;56;295
8659561718;256;563;130;139;304;435;270;331;145;454;459;468;590;116;223;460;473;110;27;162;368;11;338;339;306;42;66;538;43;574;454
3853779626;256;489;430;283;324;468;46;102;432;111;449;326;252;450;308;37;373;217;239;401;429;72;234;273;501;421;413;116;227;394;354
9842065080;512;599;39;281;386;241;216;48;27;347;139;140;513;118;76;202;461;496;25;594;303;245;81;543;48;19;442;583;495;317;331
1579142986;512;110;282;81;285;546;109;253;159;120;94;97;293;460;266;437;197;508;285;183;384;85;443;592;535;475;352;293;115;370;203
3600657974;256;240;378;434;389;358;172;226;439;573;108;169;123;469;85;539;336;125;569;227;458;501;110;241;367;272;355;163;269;326;123
1249004329;1000;95;530;157;456;473;239;23;347;77;50;20;378;551;392;377;380;414;90;445;309;213;206;17;145;58;374;293;540;253;401
444769364;256;387;300;572;46;544;62;241;106;129;139;442;78;348;77;545;108;281;54;0;333;272;552;263;510;346;538;420;548;128;175
8846995127;256;249;341;423;333;356;472;148;495;136;398;428;43;296;316;337;250;581;528;145;310;452;17;0;52;151;525;360;382;31;181
8968531439;1000;428;356;520;504;574;227;429;13;261;451;173;178;155;98;21;380;421;512;178;112;297;22;405;178;462;169;200;118;330;404
2696017570;256;321;505;519;111;396;587;241;306;180;193;64;236;437;311;266;74;575;158;433;77;147;122;460;142;65;293;528;289;597;325
8098068652;256;224;295;171;427;271;106;35;471;112;234;182;133;141;552;122;577;83;263;391;552;266;160;24;358;115;34;318;108;508;349
991139412;512;298;258;448;590;302;333;577;366;299;189;119;331;535;30;228;153;463;94;595;279;129;340;128;206;54;430;232;140;55;376
1890912963;1000;160;108;298;164;408;264;383;417;537;434;281;404;483;402;435;224;207;168;506;508;521;314;240;247;580;61;243;210;534;156
7407489129;512;486;538;328;324;458;36;155;89;524;45;199;547;379;251;0;60;178;398;172;594;538;548;147;438;147;193;542;170;198;305
3368856119;512;452;36;117;34;380;387;379;466;485;600;428;217;462;339;210;364;214;406;379;471;532;235;552;513;353;499;301;222;377;310
1224660897;1000;481;300;143;83;429;282;142;323;154;210;467;223;17;155;455;197;222;67;330;570;51;93;196;392;449;296;266;45;376;342
4737861403;512;156;472;137;0;479;544;266;346;592;422;242;384;432;466;252;112;391;517;202;538;195;129;493;527;479;233;437;356;96;317
