1, 'SZ-00001/2018', '2018-01-01', '2018-01-01', 13,
89, 'SZ-00089/2018', '2018-01-17', '2018-01-17', 58,
90, 'SZ-00090/2018', '2018-01-17', '2018-01-17', 35,
91, 'SZ-00091/2018', '2018-01-17', '2018-01-17', 20,
92, 'SZ-00092/2018', '2018-01-17', '2018-01-17', 17,
93, 'SZ-00093/2018', '2018-01-17', '2018-01-17', 100,
94, 'SZ-00094/2018', '2018-01-17', '2018-01-17', 53,
95, 'SZ-00095/2018', '2018-01-17', '2018-01-17', 24,
96, 'SZ-00096/2018', '2018-01-17', '2018-01-17', 55,
97, 'SZ-00097/2018', '2018-01-17', '2018-01-17', 60,
98, 'SZ-00098/2018', '2018-01-17', '2018-01-17', 65,
99, 'SZ-00099/2018', '2018-01-17', '2018-01-17', 41,
100, 'SZ-00100/2018', '2018-01-18', '2018-01-18', 75,
101, 'SZ-00101/2018', '2018-01-18', '2018-01-18', 68,
102, 'SZ-00102/2018', '2018-01-19', '2018-01-19', 1,
103, 'SZ-00103/2018', '2018-01-19', '2018-01-19', 25,
104, 'SZ-00104/2018', '2018-01-19', '2018-01-19', 7,
105, 'SZ-00105/2018', '2018-01-19', '2018-01-19', 29,
106, 'SZ-00106/2018', '2018-01-19', '2018-01-19', 12,
107, 'SZ-00107/2018', '2018-01-19', '2018-01-19', 83,
108, 'SZ-00108/2018', '2018-01-19', '2018-01-19', 37,
109, 'SZ-00109/2018', '2018-01-19', '2018-01-19', 12,
110, 'SZ-00110/2018', '2018-01-19', '2018-01-19', 92,
111, 'SZ-00111/2018', '2018-01-20', '2018-01-20', 43,
112, 'SZ-00112/2018', '2018-01-20', '2018-01-20', 49,
113, 'SZ-00113/2018', '2018-01-20', '2018-01-20', 38,
114, 'SZ-00114/2018', '2018-01-20', '2018-01-20', 4,
115, 'SZ-00115/2018', '2018-01-20', '2018-01-20', 10,
116, 'SZ-00116/2018', '2018-01-20', '2018-01-20', 26,
117, 'SZ-00117/2018', '2018-01-20', '2018-01-20', 96,
118, 'SZ-00118/2018', '2018-01-20', '2018-01-20', 73,
119, 'SZ-00119/2018', '2018-01-21', '2018-01-21', 74,
120, 'SZ-00120/2018', '2018-01-21', '2018-01-21', 2,
121, 'SZ-00121/2018', '2018-01-22', '2018-01-22', 89,
122, 'SZ-00122/2018', '2018-01-22', '2018-01-22', 16,
123, 'SZ-00123/2018', '2018-01-22', '2018-01-22', 6,
124, 'SZ-00124/2018', '2018-01-22', '2018-01-22', 47,
125, 'SZ-00125/2018', '2018-01-22', '2018-01-22', 63,
126, 'SZ-00126/2018', '2018-01-22', '2018-01-22', 12,
127, 'SZ-00127/2018', '2018-01-22', '2018-01-22', 20,
128, 'SZ-00128/2018', '2018-01-22', '2018-01-22', 70,
129, 'SZ-00129/2018', '2018-01-22', '2018-01-22', 53,
130, 'SZ-00130/2018', '2018-01-23', '2018-01-23', 71,
131, 'SZ-00131/2018', '2018-01-23', '2018-01-23', 86,
132, 'SZ-00132/2018', '2018-01-23', '2018-01-23', 26,
133, 'SZ-00133/2018', '2018-01-23', '2018-01-23', 40,
134, 'SZ-00134/2018', '2018-01-23', '2018-01-23', 70,
135, 'SZ-00135/2018', '2018-01-24', '2018-01-24', 65,
136, 'SZ-00136/2018', '2018-01-24', '2018-01-24', 92,
137, 'SZ-00137/2018', '2018-01-24', '2018-01-24', 96,
138, 'SZ-00138/2018', '2018-01-24', '2018-01-24', 63,
139, 'SZ-00139/2018', '2018-01-24', '2018-01-24', 37,
140, 'SZ-00140/2018', '2018-01-24', '2018-01-24', 28,
141, 'SZ-00141/2018', '2018-01-24', '2018-01-24', 12,
142, 'SZ-00142/2018', '2018-01-24', '2018-01-24', 39,
143, 'SZ-00143/2018', '2018-01-24', '2018-01-24', 15,
144, 'SZ-00144/2018', '2018-01-24', '2018-01-24', 51,
145, 'SZ-00145/2018', '2018-01-24', '2018-01-24', 42,
146, 'SZ-00146/2018', '2018-01-24', '2018-01-24', 90,
147, 'SZ-00147/2018', '2018-01-25', '2018-01-25', 18,
148, 'SZ-00148/2018', '2018-01-25', '2018-01-25', 91,
149, 'SZ-00149/2018', '2018-01-25', '2018-01-25', 76,
150, 'SZ-00150/2018', '2018-01-25', '2018-01-25', 10,
151, 'SZ-00151/2018', '2018-01-25', '2018-01-25', 84,
152, 'SZ-00152/2018', '2018-01-25', '2018-01-25', 34,
153, 'SZ-00153/2018', '2018-01-25', '2018-01-25', 14,
154, 'SZ-00154/2018', '2018-01-25', '2018-01-25', 68,
155, 'SZ-00155/2018', '2018-01-25', '2018-01-25', 19,
156, 'SZ-00156/2018', '2018-01-25', '2018-01-25', 29,
157, 'SZ-00157/2018', '2018-01-25', '2018-01-25', 90,
158, 'SZ-00158/2018', '2018-01-25', '2018-01-25', 12,
159, 'SZ-00159/2018', '2018-01-25', '2018-01-25', 16,
160, 'SZ-00160/2018', '2018-01-25', '2018-01-25', 97,
161, 'SZ-00161/2018', '2018-01-25', '2018-01-25', 40,
162, 'SZ-00162/2018', '2018-01-25', '2018-01-25', 77,
163, 'SZ-00163/2018', '2018-01-26', '2018-01-26', 54,
164, 'SZ-00164/2018', '2018-01-26', '2018-01-26', 27,
165, 'SZ-00165/2018', '2018-01-26', '2018-01-26', 98,
166, 'SZ-00166/2018', '2018-01-26', '2018-01-26', 66,
167, 'SZ-00167/2018', '2018-01-26', '2018-01-26', 93,
168, 'SZ-00168/2018', '2018-01-27', '2018-01-27', 100,
169, 'SZ-00169/2018', '2018-01-27', '2018-01-27', 38,
170, 'SZ-00170/2018', '2018-01-27', '2018-01-27', 54,
171, 'SZ-00171/2018', '2018-01-27', '2018-01-27', 66,
172, 'SZ-00172/2018', '2018-01-27', '2018-01-27', 96,
173, 'SZ-00173/2018', '2018-01-27', '2018-01-27', 96,
174, 'SZ-00174/2018', '2018-01-27', '2018-01-27', 21,
175, 'SZ-00175/2018', '2018-01-27', '2018-01-27', 100,
176, 'SZ-00176/2018', '2018-01-27', '2018-01-27', 51,
177, 'SZ-00177/2018', '2018-01-27', '2018-01-27', 3,
178, 'SZ-00178/2018', '2018-01-27', '2018-01-27', 13,
179, 'SZ-00179/2018', '2018-01-27', '2018-01-27', 59,
180, 'SZ-00180/2018', '2018-01-27', '2018-01-27', 39,
181, 'SZ-00181/2018', '2018-01-27', '2018-01-27', 80,
182, 'SZ-00182/2018', '2018-01-27', '2018-01-27', 84,
183, 'SZ-00183/2018', '2018-01-27', '2018-01-27', 9,
184, 'SZ-00184/2018', '2018-01-27', '2018-01-27', 82,
185, 'SZ-00185/2018', '2018-01-27', '2018-01-27', 71,
186, 'SZ-00186/2018', '2018-01-27', '2018-01-27', 87,
187, 'SZ-00187/2018', '2018-01-28', '2018-01-28', 40,
188, 'SZ-00188/2018', '2018-01-28', '2018-01-28', 11,
189, 'SZ-00189/2018', '2018-01-28', '2018-01-28', 40,
190, 'SZ-00190/2018', '2018-01-28', '2018-01-28', 75,
191, 'SZ-00191/2018', '2018-01-28', '2018-01-28', 2,
192, 'SZ-00192/2018', '2018-01-28', '2018-01-28', 94,
193, 'SZ-00193/2018', '2018-01-28', '2018-01-28', 54,
194, 'SZ-00194/2018', '2018-01-29', '2018-01-29', 81,
195, 'SZ-00195/2018', '2018-01-29', '2018-01-29', 50,
196, 'SZ-00196/2018', '2018-01-29', '2018-01-29', 92,
197, 'SZ-00197/2018', '2018-01-29', '2018-01-29', 45,
198, 'SZ-00198/2018', '2018-01-30', '2018-01-30', 36,
199, 'SZ-00199/2018', '2018-01-31', '2018-01-31', 68,
200, 'SZ-00200/2018', '2018-01-31', '2018-01-31', 5
